id,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,neighbourhood_cleansed,listing_id,polarity,price,minimum_nights,maximum_nights,host_is_superhost
978072668471845222,4,4.75,4.75,4.75,5.0,4.75,4.5,4.75,Sumida Ku,9.780726684718452e+17,0.7826,"25,571.00",3,365,True
978267586583472295,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Shinjuku Ku,9.782675865834723e+17,0.4019,"9,571.00",1,365,False
980711120608455071,4,4.75,4.5,5.0,5.0,5.0,5.0,4.75,Shibuya Ku,9.80711120608455e+17,0.6335999999999999,"32,714.00",3,29,True
980770794167612858,2,5.0,5.0,5.0,4.0,5.0,4.5,5.0,Itabashi Ku,9.807707941676128e+17,0.8974,"67,143.00",2,30,False
980837922636154159,9,4.67,4.67,4.33,4.78,4.78,4.67,4.78,Chuo Ku,9.808379226361541e+17,0.6977666666666668,"17,802.00",3,365,False
980913672302759548,4,5.0,5.0,5.0,5.0,5.0,4.75,5.0,Toshima Ku,9.809136723027596e+17,0.4199,"12,500.00",2,180,True
980939562850410971,6,4.67,4.33,3.83,4.83,5.0,4.33,4.33,Kita Ku,9.80939562850411e+17,0.44412,"26,879.00",2,360,False
980940699872731512,3,4.33,4.33,4.33,5.0,4.67,5.0,4.33,Suginami Ku,9.809406998727315e+17,0.879,"19,414.00",3,365,False
980955218283715516,4,4.0,4.25,4.25,4.25,4.25,4.5,4.0,Suginami Ku,9.809552182837155e+17,0.5968,"21,571.00",3,365,False
978533040962901740,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Kita Ku,9.785330409629018e+17,0.4404,"10,311.00",2,730,False
978551551718475639,2,3.5,4.5,4.5,4.0,4.5,4.5,4.0,Chiyoda Ku,9.785515517184756e+17,-0.2839,"20,714.00",1,160,False
978583736985919923,6,4.5,4.25,4.25,4.5,4.75,4.75,4.0,Shibuya Ku,9.785837369859199e+17,0.716275,"15,900.00",3,730,False
981010911531203108,12,4.83,4.83,4.83,4.83,4.92,4.75,4.83,Edogawa Ku,9.810109115312031e+17,0.7243272727272727,"47,530.00",2,365,False
981030846159671757,7,4.86,4.83,5.0,4.67,5.0,4.83,5.0,Suginami Ku,9.810308461596718e+17,0.9197599999999999,"21,857.00",3,365,False
981045700911554083,2,4.0,4.0,4.5,4.5,5.0,4.5,4.5,Suginami Ku,9.81045700911554e+17,0.8537,"20,857.00",3,365,False
981074717349943790,12,4.67,4.75,4.42,4.75,4.67,4.92,4.67,Toshima Ku,9.810747173499438e+17,0.5638,"55,429.00",1,365,False
978585535404523456,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Shibuya Ku,9.785855354045235e+17,0.9822,"28,000.00",4,180,False
978592640481330486,5,4.8,5.0,4.67,4.67,5.0,5.0,5.0,Shibuya Ku,9.785926404813304e+17,0.85836,"11,744.00",3,730,False
978854770133124066,5,3.6,4.0,4.0,4.4,4.4,4.0,3.6,Taito Ku,9.788547701331241e+17,-0.9228,"36,429.00",1,365,False
978878829391837011,3,5.0,4.67,5.0,5.0,5.0,5.0,5.0,Kita Ku,9.78878829391837e+17,0.86505,"11,000.00",1,365,False
979207274962952597,2,5.0,4.5,5.0,5.0,5.0,4.5,5.0,Shinjuku Ku,9.792072749629526e+17,0.6857,"40,000.00",2,365,True
979237078479288500,5,5.0,4.8,4.4,4.8,5.0,5.0,4.8,Nakano Ku,9.792370784792884e+17,0.9848,"109,500.00",1,365,False
981096484161176120,6,5.0,5.0,4.83,5.0,5.0,5.0,5.0,Musashino Shi,9.81096484161176e+17,0.699925,"18,962.00",2,90,False
979245458264434389,19,4.95,5.0,5.0,5.0,5.0,4.89,5.0,Sumida Ku,9.792454582644344e+17,0.8612625,"31,257.00",2,31,True
979287615086059605,3,5.0,5.0,5.0,5.0,5.0,4.67,4.67,Katsushika Ku,9.792876150860596e+17,0.7691333333333333,"45,714.00",3,365,False
981103818739956726,12,4.83,4.83,4.83,4.92,5.0,4.67,4.75,Bunkyo Ku,9.811038187399567e+17,0.62476,"45,000.00",1,365,False
981106569872718538,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Musashino Shi,9.811065698727186e+17,0.9039,"19,328.00",2,90,False
981108097005264176,10,4.9,5.0,4.9,5.0,5.0,5.0,4.9,Bunkyo Ku,9.811080970052641e+17,0.7857,"55,000.00",1,20,False
979310379661798274,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Minato Ku,9.793103796617983e+17,0.7574,"29,283.00",1,365,False
981129191915823018,3,5.0,4.67,4.33,5.0,5.0,5.0,5.0,Suginami Ku,9.81129191915823e+17,0.962,"24,000.00",3,365,False
981397601900278068,5,5.0,5.0,4.6,5.0,5.0,5.0,5.0,Taito Ku,9.81397601900278e+17,0.6305000000000001,"12,100.00",2,730,False
979332265212377793,5,5.0,4.8,4.6,5.0,5.0,5.0,4.8,Nakano Ku,9.793322652123779e+17,0.8716333333333334,"38,000.00",1,365,False
981427485072185650,1,5.0,5.0,5.0,5.0,5.0,4.0,5.0,Taito Ku,9.814274850721856e+17,0.6486,"18,000.00",1,365,True
981465587251403172,1,5.0,5.0,5.0,5.0,4.0,4.0,5.0,Taito Ku,9.814655872514031e+17,0.9456,"14,429.00",1,365,False
979428857133041983,2,4.5,5.0,4.5,5.0,5.0,5.0,4.5,Toshima Ku,9.794288571330419e+17,0.9529,"16,063.00",1,365,False
